"dataset","split","B","nodesize","method","mse","mae","lambda","lambda_naive","leaves","n_eff","n_train"
"boston",2,10,5,"SSRF-naive",21.0947077946921,2.73963083255336,0.974527539337767,0.989800976770026,115.6,1.81653280512642,354
"boston",2,25,5,"RF",13.2671492573728,2.38454633263404,0.971666026940117,0.989084486588335,114.32,1.8336470516041,354
"boston",2,25,5,"SSRF-JS",13.6540421333245,2.41736582161796,0.971666026940117,0.989084486588335,114.32,1.8336470516041,354
"boston",2,25,5,"SSRF",13.6788303215391,2.4140074028361,0.971666026940117,0.989084486588335,114.32,1.8336470516041,354
"boston",2,25,5,"SSRF-naive",13.4187203821574,2.39327412364925,0.971666026940117,0.989084486588335,114.32,1.8336470516041,354
"boston",2,25,5,"RF-tuned",12.8359310307166,2.39037358422327,0.971666026940117,0.989084486588335,114.32,1.8336470516041,354
"boston",2,25,5,"SSRF-tuned",13.5399922855343,2.47425609528728,0.971666026940117,0.989084486588335,114.32,1.8336470516041,354
"boston",2,25,5,"GBM",14.292651903335,2.40718845500224,0.971666026940117,0.989084486588335,114.32,1.8336470516041,354
"boston",2,25,5,"LassoRF",12.8021227593295,2.30759924081036,0.971666026940117,0.989084486588335,114.32,1.8336470516041,354
"boston",2,25,5,"LLF",8.90585622999776,2.08546672879618,0.971666026940117,0.989084486588335,114.32,1.8336470516041,354
"boston",2,100,5,"RF",13.0197401891018,2.28740152049243,0.971142194816784,0.989145089061681,115.35,1.807508353319,354
"boston",2,100,5,"SSRF-JS",13.4513260139856,2.34151105205341,0.971142194816784,0.989145089061681,115.35,1.807508353319,354
"boston",2,100,5,"SSRF",13.4491728428879,2.33878571004993,0.971142194816784,0.989145089061681,115.35,1.807508353319,354
"boston",2,100,5,"SSRF-naive",13.1816274525679,2.30723622734064,0.971142194816784,0.989145089061681,115.35,1.807508353319,354
"boston",2,100,5,"RF-tuned",13.371119427801,2.42269312343358,0.971142194816784,0.989145089061681,115.35,1.807508353319,354
"boston",2,100,5,"SSRF-tuned",13.2181588090249,2.46001062776214,0.971142194816784,0.989145089061681,115.35,1.807508353319,354
"boston",2,100,5,"GBM",13.4314404974716,2.56338633547097,0.971142194816784,0.989145089061681,115.35,1.807508353319,354
"boston",2,100,5,"LassoRF",12.587269897619,2.32426902199534,0.971142194816784,0.989145089061681,115.35,1.807508353319,354
"boston",2,100,5,"LLF",11.6937858349479,2.25548261048892,0.971142194816784,0.989145089061681,115.35,1.807508353319,354
"boston",2,500,5,"RF",10.2352905869278,2.01179004564695,0.971057039355888,0.989314049516996,115.804,1.8008853440834,354
"boston",2,500,5,"SSRF-JS",10.5967723146546,2.0441515754078,0.971057039355888,0.989314049516996,115.804,1.8008853440834,354
"boston",2,500,5,"SSRF",10.6131430136767,2.04181961897566,0.971057039355888,0.989314049516996,115.804,1.8008853440834,354
"boston",2,500,5,"SSRF-naive",10.3797136710209,2.02286653156119,0.971057039355888,0.989314049516996,115.804,1.8008853440834,354
"boston",2,500,5,"RF-tuned",8.25738100618856,1.94634762426901,0.971057039355888,0.989314049516996,115.804,1.8008853440834,354
