experiment,dgp,n,p,B,min_leaf,rep,rule,mean_abs_C,mean_bound,rel_C,s_lambda,identity_err,mse_true,mse_common
heterogeneity,dgp1,300,10,10,5,12,EB,0.012238701761900507,0.042687199982977424,0.038179463223913954,0.06024134864827325,4.440892098500626e-16,0.10799193997272621,0.10907725438552054
heterogeneity,dgp1,300,10,10,5,12,JS,0.005765941350770512,0.02178227769564596,0.017987246526285364,0.03071593524083631,3.3306690738754696e-16,0.10929498501698064,0.1092966785417615
heterogeneity,dgp1,300,10,10,5,13,EB,0.01184165546968201,0.04070510027763278,0.037999264933704584,0.05872147473911308,4.440892098500626e-16,0.13808333617199042,0.14064979724580906
heterogeneity,dgp1,300,10,10,5,13,JS,0.004321628451635028,0.016370631430943788,0.013867884004830348,0.023662476487015218,2.220446049250313e-16,0.14149453085087005,0.14182299633207937
heterogeneity,dgp1,300,10,10,5,14,EB,0.011618590437338318,0.043064549341709425,0.040125052435029555,0.06016585460862938,2.220446049250313e-16,0.11831169939292867,0.11913828939038403
heterogeneity,dgp1,300,10,10,5,14,JS,0.004899604710252812,0.019128429755368992,0.016920890444508164,0.02677704280122541,2.220446049250313e-16,0.11998504104722599,0.11966235861310363
heterogeneity,dgp1,300,10,100,5,0,EB,0.0064241486520433405,0.06639094050372416,0.020182031979076847,0.07814329326401592,5.551115123125783e-16,0.1199848870733824,0.12166909671389438
heterogeneity,dgp1,300,10,100,5,0,JS,0.003581155338732695,0.04222613073712886,0.011250516680580918,0.04977118237522308,4.440892098500626e-16,0.12149237128370274,0.1218633526797539
heterogeneity,dgp1,300,10,100,5,1,EB,0.004266322526088381,0.04908329465036662,0.011573932135709723,0.060362513111000396,6.661338147750939e-16,0.06502931668532434,0.06526588749197756
heterogeneity,dgp1,300,10,100,5,1,JS,0.002225420975612884,0.025002344979460595,0.006037253674007596,0.03073995017326916,6.661338147750939e-16,0.06618284647343556,0.06600176216052861
heterogeneity,dgp1,300,10,100,5,2,EB,0.004934313539368704,0.051598821855265466,0.016776241891931835,0.06836082844918846,6.661338147750939e-16,0.11620462684050659,0.11723899910842853
heterogeneity,dgp1,300,10,100,5,2,JS,0.002382757417188059,0.02753014087048288,0.008101170402247249,0.036558990066020515,4.440892098500626e-16,0.11778239433291485,0.1176426697495632
heterogeneity,dgp1,300,10,100,5,3,EB,0.007746498301681665,0.08817166001452935,0.025175465135085347,0.09231812342287263,3.3306690738754696e-16,0.09736476600955729,0.09913820323953453
heterogeneity,dgp1,300,10,100,5,3,JS,0.004984091543568274,0.05794748958715675,0.01619787651124088,0.06081601984656059,4.440892098500626e-16,0.09822921861947094,0.09924285077477372
heterogeneity,dgp1,300,10,100,5,4,EB,0.00462021100985185,0.050091298050634774,0.016079381801801455,0.06281287394119148,3.3306690738754696e-16,0.09117842468302335,0.09161154949838818
heterogeneity,dgp1,300,10,100,5,4,JS,0.0024043394688942166,0.027557902276531356,0.008367646460097567,0.03459385287826438,3.3306690738754696e-16,0.09183548023138195,0.0917482671311156
heterogeneity,dgp1,300,10,100,5,5,EB,0.0050916871415409605,0.05493440660037607,0.015186059043090595,0.06329444698608847,4.440892098500626e-16,0.06912828352751015,0.06945883670013575
heterogeneity,dgp1,300,10,100,5,5,JS,0.0019242360718491275,0.02490264352405918,0.0057390726860531115,0.02867743940211789,3.3306690738754696e-16,0.06978918493352936,0.06981538590344964
heterogeneity,dgp1,300,10,100,5,6,EB,0.004474008925840655,0.04717102412008697,0.014999527294437452,0.060196924902614746,4.440892098500626e-16,0.085560683679855,0.08595715501139745
heterogeneity,dgp1,300,10,100,5,6,JS,0.001950373730782555,0.023392308809922283,0.006538807698898333,0.029892621375836346,4.440892098500626e-16,0.08630179478900084,0.08625801882119624
heterogeneity,dgp1,300,10,100,5,7,EB,0.004930001027932344,0.05518643118408899,0.01538241303966429,0.06612772239628509,4.440892098500626e-16,0.08284317993509659,0.08363076444281012
heterogeneity,dgp1,300,10,100,5,7,JS,0.0021660123229489793,0.02747157371435514,0.006758314250205702,0.032959971572398244,4.440892098500626e-16,0.08355528203026724,0.08356080028202378
heterogeneity,dgp1,300,10,100,5,8,EB,0.005774025668998677,0.05724580422905214,0.016092646089883828,0.06741518416809619,6.661338147750939e-16,0.07876906049109111,0.07931935939678206
heterogeneity,dgp1,300,10,100,5,8,JS,0.002515802295447367,0.029465534176786014,0.007011731206898641,0.03475515766480142,6.661338147750939e-16,0.07989695862588286,0.07979226430515748
