experiment,dgp,n,p,B,min_leaf,rep,method,mse,mae,mse_true,lam_js,leaves,snr
substitution,dgp1,600,10,1,2,6,RF,2.4027918421980936,1.183001586808783,1.1383932543151356,0.6620830942359758,238.0,0.1544843280503335
substitution,dgp1,600,10,1,2,6,SSRF,1.8301723401469059,1.013671010822005,0.5568051124109378,0.6620830942359758,238.0,0.1544843280503335
substitution,dgp1,600,10,1,2,6,SSRF-JS,1.8238893892553882,1.0104640514080674,0.5437647035699372,0.6620830942359758,238.0,0.1544843280503335
substitution,dgp1,600,10,3,2,6,RF,1.6505952933466155,0.9659506267050448,0.4330307640953356,0.7407678082590289,238.33333333333334,0.1544843280503335
substitution,dgp1,600,10,3,2,6,SSRF,1.5102109824910552,0.9097847528499721,0.26592102519620314,0.7407678082590289,238.33333333333334,0.1544843280503335
substitution,dgp1,600,10,3,2,6,SSRF-JS,1.511192928788915,0.9110453006124033,0.267748792601371,0.7407678082590289,238.33333333333334,0.1544843280503335
substitution,dgp1,600,10,5,2,6,RF,1.5525688464376715,0.9300227574132238,0.2931143254119659,0.752024188680997,234.8,0.1544843280503335
substitution,dgp1,600,10,5,2,6,SSRF,1.4726415694511044,0.8943746386227288,0.19673042491014228,0.752024188680997,234.8,0.1544843280503335
substitution,dgp1,600,10,5,2,6,SSRF-JS,1.4730095223691666,0.8950161884965298,0.19925503580087872,0.752024188680997,234.8,0.1544843280503335
substitution,dgp1,600,10,10,2,6,RF,1.4576275621564723,0.8867210568642422,0.1856994684574457,0.7926342408639672,235.5,0.1544843280503335
substitution,dgp1,600,10,10,2,6,SSRF,1.4245089423090231,0.8704636584331378,0.14168234549557496,0.7926342408639672,235.5,0.1544843280503335
substitution,dgp1,600,10,10,2,6,SSRF-JS,1.4251243120402353,0.8714560752294455,0.14319417385951835,0.7926342408639672,235.5,0.1544843280503335
substitution,dgp1,600,10,25,2,6,RF,1.3937814162955067,0.8602652341876543,0.11734706206606438,0.7789795574027455,233.68,0.1544843280503335
substitution,dgp1,600,10,25,2,6,SSRF,1.3813431393531561,0.8529524940328016,0.09655959411591965,0.7789795574027455,233.68,0.1544843280503335
substitution,dgp1,600,10,25,2,6,SSRF-JS,1.3821095604778177,0.8533964953240593,0.09729643691111865,0.7789795574027455,233.68,0.1544843280503335
substitution,dgp1,600,10,50,2,6,RF,1.3680501211215832,0.8534024042090524,0.09525981345806629,0.787340989935421,233.38,0.1544843280503335
substitution,dgp1,600,10,50,2,6,SSRF,1.3643283030084472,0.8492793997236918,0.08336409150027871,0.787340989935421,233.38,0.1544843280503335
substitution,dgp1,600,10,50,2,6,SSRF-JS,1.3652089480457228,0.8492746990469529,0.0839648842627488,0.787340989935421,233.38,0.1544843280503335
