experiment,dgp,n,p,B,min_leaf,rep,method,mse,mse_true,runtime,lam_tree,lam_cv,lam_ij,lam_oracle,lam_local_mean
calibration,dgp1,300,10,10,5,18,Cal-IJ,1.3717685226857739,0.09765426494778916,0.022230069000215735,0.8159944965607107,0.7310444636050646,0.4231748146303818,0.52,0.720740872312401
calibration,dgp1,300,10,10,5,19,RF,1.4264911938726605,0.13482714985404998,0.011939088999952219,0.8241988678633897,0.8256372456518065,0.25249461748739344,0.58,0.7999609109376062
calibration,dgp1,300,10,10,5,19,SSRF-JS,1.3908345380611966,0.10257030844558847,0.011939088999952219,0.8241988678633897,0.8256372456518065,0.25249461748739344,0.58,0.7999609109376062
calibration,dgp1,300,10,10,5,19,Cal-CV,1.3919456126731475,0.10320433197367541,0.07119321400000445,0.8241988678633897,0.8256372456518065,0.25249461748739344,0.58,0.7999609109376062
calibration,dgp1,300,10,10,5,19,Cal-CV-local,1.386168278881046,0.10066897161731837,0.07119321400000445,0.8241988678633897,0.8256372456518065,0.25249461748739344,0.58,0.7999609109376062
calibration,dgp1,300,10,10,5,19,Cal-IJ,1.3940839094623503,0.11494995721152262,0.01644639799997094,0.8241988678633897,0.8256372456518065,0.25249461748739344,0.58,0.7999609109376062
calibration,dgp1,300,10,100,5,0,RF,1.3472407555975319,0.08761261693145783,0.13507474099992578,0.8302325706181014,0.9399941545169694,0.9789846078697978,0.72,0.957501885582551
calibration,dgp1,300,10,100,5,0,SSRF-JS,1.3394524512601,0.07473241160772805,0.13507474099992578,0.8302325706181014,0.9399941545169694,0.9789846078697978,0.72,0.957501885582551
calibration,dgp1,300,10,100,5,0,Cal-CV,1.3431810635002308,0.0817378058047036,0.6456323749998774,0.8302325706181014,0.9399941545169694,0.9789846078697978,0.72,0.957501885582551
calibration,dgp1,300,10,100,5,0,Cal-CV-local,1.3433148557209798,0.08326400410889669,0.6456323749998774,0.8302325706181014,0.9399941545169694,0.9789846078697978,0.72,0.957501885582551
calibration,dgp1,300,10,100,5,0,Cal-IJ,1.3456568937974966,0.08539305976108162,0.16777049099982833,0.8302325706181014,0.9399941545169694,0.9789846078697978,0.72,0.957501885582551
calibration,dgp1,300,10,100,5,1,RF,1.324119889523677,0.07937088996751604,0.11657728700015468,0.7976186356051214,0.5170021830308462,0.6772412832304554,0.8200000000000001,0.6514777612649822
calibration,dgp1,300,10,100,5,1,SSRF-JS,1.3198578498699225,0.07586405213667376,0.11657728700015468,0.7976186356051214,0.5170021830308462,0.6772412832304554,0.8200000000000001,0.6514777612649822
calibration,dgp1,300,10,100,5,1,Cal-CV,1.3291946388224802,0.08690330427498767,0.6952716830001009,0.7976186356051214,0.5170021830308462,0.6772412832304554,0.8200000000000001,0.6514777612649822
calibration,dgp1,300,10,100,5,1,Cal-CV-local,1.3244058025068406,0.08274169753619882,0.6952716830001009,0.7976186356051214,0.5170021830308462,0.6772412832304554,0.8200000000000001,0.6514777612649822
calibration,dgp1,300,10,100,5,1,Cal-IJ,1.3214176374909856,0.07831094930058786,0.1503119090000382,0.7976186356051214,0.5170021830308462,0.6772412832304554,0.8200000000000001,0.6514777612649822
