dataset,n,p,split,B,method,mse,mae,runtime,lam,lam_naive,leaves,n_eff,n_train
airquality,111,5,2,100,LassoRF,259.93521100785114,12.34869340885215,0.1332825890001459,0.8758874004140114,0.9319131196941344,11.43,3.746799195813034,78
airquality,111,5,2,100,GBM,271.0634337591955,11.567654340967213,0.10129022599994641,0.8758874004140114,0.9319131196941344,11.43,3.746799195813034,78
airquality,111,5,2,500,RF,344.26666159120606,13.693462881836473,0.5769024549999813,0.8947552814383903,0.9411519609953783,11.372,3.7623130555701265,78
airquality,111,5,2,500,SSRF-JS,371.1425750137407,14.040926555887882,0.5769024549999813,0.8947552814383903,0.9411519609953783,11.372,3.7623130555701265,78
airquality,111,5,2,500,SSRF,378.4604999172003,14.185748805868787,0.5769024549999813,0.8947552814383903,0.9411519609953783,11.372,3.7623130555701265,78
airquality,111,5,2,500,SSRF-naive,358.15414719863736,13.8338570214192,0.6518140769999263,0.8947552814383903,0.9411519609953783,11.372,3.7623130555701265,78
airquality,111,5,2,500,SSRF-rob,356.23044414551265,13.80744861500376,1.0739560969998365,0.8947552814383903,0.9411519609953783,11.372,3.7623130555701265,78
airquality,111,5,2,500,RF-tuned,315.1464337281551,13.432739372075735,2.1845425050000813,0.8947552814383903,0.9411519609953783,11.372,3.7623130555701265,78
airquality,111,5,2,500,SSRF-tuned,319.91069111066236,13.559842653363571,2.8740236630001164,0.8947552814383903,0.9411519609953783,11.372,3.7623130555701265,78
airquality,111,5,2,500,LassoRF,345.4610910651014,13.631530695711577,0.5827825430001212,0.8947552814383903,0.9411519609953783,11.372,3.7623130555701265,78
airquality,111,5,2,500,GBM,284.01943525124227,12.270671225376976,0.13832652500013864,0.8947552814383903,0.9411519609953783,11.372,3.7623130555701265,78
airquality,111,5,3,5,RF,167.84896220323077,10.673042983952074,0.004346850000047198,0.9416801972943197,0.9699444688368837,10.2,3.9877257651426348,78
airquality,111,5,3,5,SSRF-JS,173.58396155608972,10.94919809959309,0.004346850000047198,0.9416801972943197,0.9699444688368837,10.2,3.9877257651426348,78
airquality,111,5,3,5,SSRF,176.55074095931346,11.076103240116547,0.004346850000047198,0.9416801972943197,0.9699444688368837,10.2,3.9877257651426348,78
airquality,111,5,3,5,SSRF-naive,169.60762212775717,10.768653069157319,0.010831403000111095,0.9416801972943197,0.9699444688368837,10.2,3.9877257651426348,78
airquality,111,5,3,5,SSRF-rob,171.03981660600343,10.805144936076214,0.011995805999958975,0.9416801972943197,0.9699444688368837,10.2,3.9877257651426348,78
airquality,111,5,3,10,RF,204.9395683515999,11.836142376142375,0.012087857999858898,0.8803511290876737,0.9346198352643036,11.7,3.707669498495324,78
